entry_type,name,setting,accuracy,precision,recall,f1,roc_auc,pr_auc
model,logreg_shortcut_free,heldout_provenance,0.37889688249400477,0.34234234234234234,0.9373072970195272,0.5015122353588122,0.614368525734397,0.4520596412966731
model,xgb_shortcut_free,heldout_provenance,0.6591298389859541,0.49414893617021277,0.9547790339157246,0.6512443042411497,0.7983818495049797,0.6431920980162527
model,text_tfidf,heldout_provenance,1.0,1.0,1.0,1.0,1.0,1.0
model,hybrid,heldout_provenance,0.9725933538883179,0.9256434699714013,0.9979445015416238,0.960435212660732,0.9984351382496998,0.9969446987616077
baseline,rule,heldout_provenance,0.6591298389859541,0.49339735894357745,0.8448098663926003,0.6229632436528988,0.7487335340947621,0.49953122109781534
baseline,promptguard,heldout_provenance,0.736896197327852,0.8596491228070176,0.2517985611510791,0.38950715421303655,0.8576915886172283,0.7345972652259397
sanity_check,logreg_shortcut_free,label_shuffle,0.3333333333333333,0.33287530058399173,0.9958890030832477,0.49897013388259526,0.48128028189693145,0.35620096171018345
sanity_check,xgb_shortcut_free,label_shuffle,0.3333333333333333,0.3319516407599309,0.987667009249743,0.4968976215098242,0.512482188672788,0.3430629357709999
sanity_check,text_tfidf,label_shuffle,0.3336759164097294,0.3331043956043956,0.9969167523124358,0.49935649935649934,0.5020000443632759,0.3630158782306757
sanity_check,hybrid,label_shuffle,0.3329907502569373,0.3331048663468129,0.998972250770812,0.49961449498843485,0.5066993828223283,0.36110154837417263
